fp_rate_target,precision,recall,f1,reduction,fp_filtered,fp_kept,vp_missed,tn,n_cl
0.4,0.6781,0.9113,0.7776,0.1936,,649,133,351,49
0.5,0.7196,0.8912,0.7963,0.3808,,434,136,816,48
0.55,0.6933,0.848,0.7629,0.4496,,422,171,953,45
0.65,0.5237,0.8343,0.6435,0.4424,,664,145,961,46
0.75,0.3729,0.7584,0.5,0.4916,,797,151,1078,50
