seed,f1,prec,rec,roc,red,n_cl
42,0.8009,0.7486,0.8611,0.8683,0.4404,41
123,0.8139,0.7241,0.9292,0.8675,0.3481,46
256,0.7994,0.7313,0.8816,0.8565,0.3977,42
512,0.7568,0.704,0.8182,0.8156,0.4329,45
1024,0.7961,0.7134,0.9006,0.8394,0.3753,42
