cycle,f1_perfect,prec_perfect,rec_perfect,f1_noisy,prec_noisy,rec_noisy,uncertain_pool,pool_size
0,0.8009,0.7486,0.8611,0.8009,0.7486,0.8611,778,1999
1,0.8272,0.815,0.8398,0.8267,0.7922,0.8644,709,1849
2,0.8345,0.8239,0.8455,0.8216,0.8183,0.825,761,1699
3,0.8305,0.8378,0.8233,0.823,0.7959,0.8521,640,1549
4,0.8291,0.8081,0.8513,0.8291,0.8102,0.8488,604,1399
5,0.8321,0.8176,0.8472,0.8283,0.8022,0.8562,692,1249
