n_estimators,max_depth,train_s,oob_error,best_threshold,f1_val,precision,recall,f1,f2,reduction,vp_missed,tp,fp_kept,fn,tn,roc_auc
100,8,4.64,0.1174,0.43,0.8723,0.8738,0.864,0.8689,0.866,0.6813,1451,9221,1332,1451,21111,0.9605
100,10,5.06,0.1062,0.445,0.8811,0.8866,0.8687,0.8776,0.8722,0.6842,1401,9271,1186,1401,21257,0.9653
100,12,5.28,0.0985,0.445,0.8782,0.892,0.8685,0.8801,0.8731,0.6862,1403,9269,1122,1403,21321,0.9667
100,14,5.44,0.0866,0.48,0.8794,0.8715,0.8821,0.8768,0.88,0.6738,1258,9414,1388,1258,21055,0.9677
100,16,5.08,0.0904,0.47,0.8804,0.8826,0.8778,0.8802,0.8788,0.6795,1304,9368,1246,1304,21197,0.9678
100,20,6.06,0.0915,0.46,0.884,0.8845,0.8759,0.8802,0.8776,0.6808,1324,9348,1221,1324,21222,0.9677
100,30,4.86,0.0913,0.46,0.8837,0.8846,0.8758,0.8802,0.8776,0.6809,1325,9347,1219,1325,21224,0.9678
150,4,3.53,0.181,0.405,0.8179,0.7909,0.8466,0.8178,0.8349,0.6551,1637,9035,2388,1637,20055,0.9328
150,6,4.68,0.1317,0.43,0.8416,0.8074,0.8761,0.8403,0.8614,0.6503,1322,9350,2231,1322,20212,0.9493
150,8,5.97,0.1166,0.425,0.8713,0.8763,0.865,0.8706,0.8672,0.6819,1441,9231,1303,1441,21140,0.9613
150,10,5.09,0.1036,0.46,0.8786,0.8764,0.8742,0.8753,0.8746,0.6785,1343,9329,1316,1343,21127,0.965
150,12,7.96,0.0957,0.44,0.88,0.8952,0.8665,0.8806,0.8721,0.6881,1425,9247,1083,1425,21360,0.9667
150,14,5.66,0.0847,0.455,0.8819,0.8895,0.8708,0.88,0.8745,0.6845,1379,9293,1155,1379,21288,0.9675
150,16,7.87,0.0862,0.44,0.8794,0.9019,0.861,0.881,0.8689,0.6923,1483,9189,999,1483,21444,0.9678
150,20,5.49,0.0893,0.46,0.8814,0.8845,0.8756,0.88,0.8773,0.681,1328,9344,1220,1328,21223,0.9677
150,30,6.75,0.0891,0.46,0.8814,0.8845,0.8755,0.88,0.8773,0.681,1329,9343,1220,1329,21223,0.9677
